암호화요양기호,위치_공공건물(장소)명
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxOTYxIzUxIyQxIyQxIyQ4MiQyNjE0ODEjNjEjJDEjJDQjJDgz,이매파출소
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMTkxIzExIyQxIyQ3IyQ4OSQ0NjE0ODEjNzEjJDEjJDgjJDgz,운중동 주민센터
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMTkxIzExIyQxIyQ3IyQ5MiQyNjEwMDIjNTEjJDEjJDYjJDgz,서현역
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMTkxIzExIyQxIyQ3IyQ5OSQzNjEyMjIjODEjJDEjJDIjJDgz,"서현역, AK 플라자"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMTkxIzExIyQxIyQzIyQ4OSQyNjEyMjIjNDEjJDEjJDgjJDgz,판교도서관
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMTkxIzExIyQxIyQzIyQ5OSQyNjEwMDIjNDEjJDEjJDgjJDgz,
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMTkxIzIxIyQxIyQ1IyQ4OSQzNjE4MzIjNDEjJDEjJDgjJDgz,태평역 4번출구 해광빌딩
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMTkxIzIxIyQxIyQ1IyQ5OSQyNjEyMjIjODEjJDEjJDIjJDgz,야탑3동 동사무소
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMTkxIzIxIyQxIyQ5IyQ3OSQyNjE0ODEjNTEjJDEjJDYjJDgz,"분당선 정자역 4번출구, 신분당선 정자역 5번출구"
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMTkxIzIxIyQxIyQ5IyQwMyQ0NjEwMDIjNjEjJDEjJDQjJDgz,세일프라자
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMTkxIzIxIyQxIyQxIyQ3OSQzNjE4MzIjODEjJDEjJDIjJDgz,휴맥스빌리지2층
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxMTkxIzIxIyQxIyQxIyQ5MiQzNjEwMDIjNTEjJDEjJDIjJDgz,운중동 국민은행
